s.no,year,month,state,occupation,item,men,women,"rural_wages_|__official_website_of_labour_bureau,_ministry_of_labour_and
employment,government_of_india"
354.0,2021-2022,Jun,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
355.0,2025-2026,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),697.8,445.34,
356.0,2015-2016,Jul,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),332.7,156.98,
357.0,2023-2024,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),551.25,358.4,
358.0,2021-2022,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),504.48,299.46,
359.0,2019-2020,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),415.38,258.76,
361.0,2017-2018,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),361.54,231.97,
362.0,2023-2024,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",533.33,335.9,
363.0,2016-2017,Jul,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
365.0,2025-2026,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",615.25,371.59,
366.0,2018-2019,Jul,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
367.0,2017-2018,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",383.89,211.6,
368.0,2021-2022,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",441.16,286.11,
369.0,2019-2020,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",409.95,238.01,
370.0,2025-2026,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,735.0,,
371.0,2015-2016,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,403.01,254.14,
372.0,2023-2024,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,694.71,,
373.0,2021-2022,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,659.44,,
374.0,2019-2020,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,596.76,,
375.0,2024-2025,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,381.4,
376.0,2017-2018,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,486.93,,
377.0,2020-2021,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,492.69,298.06,
379.0,2018-2019,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,426.77,253.75,
381.0,2016-2017,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,387.59,226.66,
384.0,2017-2018,Jul,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
385.0,2015-2016,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),298.59,201.28,
386.0,2024-2025,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),567.11,384.52,
387.0,2020-2021,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),460.0,278.86,
388.0,2025-2026,Jul,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),,383.89,
389.0,2018-2019,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,244.03,
390.0,2015-2016,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",350.93,191.95,
392.0,2016-2017,Jul,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),357.22,220.42,
395.0,2024-2025,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",563.23,357.66,
396.0,2017-2018,Jul,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
397.0,2015-2016,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,478.51,,
398.0,2016-2017,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",375.83,210.6,
399.0,2020-2021,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",428.53,265.52,
400.0,2018-2019,Jul,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",400.42,221.0,
401.0,2024-2025,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,702.16,,
402.0,2020-2021,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,631.11,,
403.0,2025-2026,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,649.93,430.56,
404.0,2018-2019,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,515.0,,
405.0,2015-2016,Jul,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
406.0,2023-2024,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,569.67,343.12,
407.0,2016-2017,Jul,TAMIL NADU,Agriculture,Ploughing/Tilling workers,480.33,,
408.0,2021-2022,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,545.83,322.89,
409.0,2019-2020,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,449.49,281.39,
411.0,2017-2018,Jul,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,396.15,222.76,
412.0,2016-2017,Jul,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
414.0,2018-2019,Jul,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
415.0,2018-2019,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,426.77,253.75,
416.0,2023-2024,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
417.0,2016-2017,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,391.03,223.16,
418.0,2020-2021,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,492.69,298.06,
419.0,2025-2026,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,735.0,,
421.0,2024-2025,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,387.37,
422.0,2017-2018,Aug,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
424.0,2015-2016,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),321.12,204.92,
427.0,2018-2019,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),378.81,249.03,
428.0,2015-2016,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",351.7,193.36,
429.0,2016-2017,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),358.18,220.08,
430.0,2020-2021,Aug,TAMIL,Agriculture,Sowing(including Planting/Transplanting/,461.78,278.86,
431.0,2024-2025,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),576.0,391.55,
432.0,2017-2018,Aug,TAMIL,Agriculture,Horticulture workers (including nursery,423.9,205.71,
435.0,2015-2016,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,477.19,,
436.0,2018-2019,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",400.42,221.0,
438.0,2016-2017,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",377.75,210.6,
439.0,2020-2021,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",428.53,265.52,
440.0,2025-2026,Aug,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),,383.89,
441.0,2024-2025,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",567.58,363.54,
442.0,2016-2017,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,483.18,,
443.0,2020-2021,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,631.11,,
444.0,2018-2019,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,542.37,,
445.0,2015-2016,Aug,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
446.0,2017-2018,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,396.15,222.76,
447.0,2021-2022,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,545.22,323.2,
448.0,2019-2020,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,474.1,281.39,
449.0,2024-2025,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,702.16,,
450.0,2018-2019,Aug,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
451.0,2023-2024,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,576.19,345.88,
452.0,2016-2017,Aug,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
454.0,2025-2026,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,649.93,430.56,
456.0,2015-2016,Aug,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),332.7,156.98,
457.0,2017-2018,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),357.69,228.11,
458.0,2021-2022,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),504.48,301.25,
459.0,2019-2020,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),415.38,258.76,
460.0,2018-2019,Aug,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
461.0,2023-2024,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),554.22,358.4,
462.0,2016-2017,Aug,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
464.0,2025-2026,Aug,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),697.8,445.34,
465.0,2019-2020,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",409.95,238.01,
467.0,2017-2018,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",383.89,211.6,
468.0,2021-2022,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",443.54,286.11,
469.0,2015-2016,Aug,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,412.42,255.48,
470.0,2025-2026,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",615.25,371.59,
471.0,2023-2024,Aug,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",538.1,336.97,
472.0,2017-2018,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.72,,
473.0,2021-2022,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
474.0,2019-2020,Aug,TAMIL NADU,Agriculture,Ploughing/Tilling workers,596.76,,
477.0,2024-2025,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),582.67,397.36,
478.0,2017-2018,Sep,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
479.0,2015-2016,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.45,,
480.0,2020-2021,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",434.65,269.61,
481.0,2025-2026,Sep,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),,393.89,
482.0,2018-2019,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.75,221.0,
484.0,2016-2017,Sep,TAMIL,Agriculture,General agricultural labourers (including,377.75,210.6,
485.0,2024-2025,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",576.27,369.43,
486.0,2020-2021,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,635.87,,
487.0,2018-2019,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,542.37,,
488.0,2015-2016,Sep,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
489.0,2016-2017,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,483.18,,
490.0,2021-2022,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,545.22,323.2,
491.0,2019-2020,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,474.1,281.39,
492.0,2024-2025,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,702.16,,
493.0,2017-2018,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,403.85,219.98,
495.0,2025-2026,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,649.93,430.56,
496.0,2018-2019,Sep,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
497.0,2023-2024,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,348.82,
498.0,2016-2017,Sep,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
500.0,2015-2016,Sep,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),332.7,156.98,
501.0,2019-2020,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),434.62,269.35,
502.0,2017-2018,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),361.54,229.03,
503.0,2021-2022,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),499.05,301.25,
505.0,2025-2026,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),707.03,454.63,
506.0,2018-2019,Sep,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
507.0,2023-2024,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),554.22,361.26,
508.0,2016-2017,Sep,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
509.0,2021-2022,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",443.54,286.11,
510.0,2019-2020,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",411.35,238.2,
512.0,2017-2018,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",383.89,211.6,
513.0,2015-2016,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,378.08,226.27,
514.0,2025-2026,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",621.91,376.92,
515.0,2023-2024,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",538.1,343.63,
516.0,2019-2020,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,578.17,,
517.0,2017-2018,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.72,,
518.0,2021-2022,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
519.0,2020-2021,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,492.69,298.06,
520.0,2025-2026,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,743.33,,
521.0,2018-2019,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,426.77,253.75,
522.0,2023-2024,Sep,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
523.0,2016-2017,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
526.0,2024-2025,Sep,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,393.51,
527.0,2017-2018,Sep,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
528.0,2015-2016,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),321.99,207.98,
531.0,2020-2021,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),461.78,284.07,
532.0,2018-2019,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),386.46,242.18,
533.0,2015-2016,Sep,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",358.78,194.36,
534.0,2016-2017,Sep,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),358.18,212.26,
536.0,2015-2016,Oct,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),332.7,156.98,
537.0,2021-2022,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),503.49,300.55,
538.0,2019-2020,Oct,TAMIL,Agriculture,Sowing(including Planting/Transplanting/,420.83,258.99,
539.0,2017-2018,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),361.54,232.67,
540.0,2016-2017,Oct,TAMIL,Agriculture,Horticulture workers (including nursery,413.9,201.71,
542.0,2025-2026,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),706.53,455.34,
544.0,2023-2024,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),557.56,361.26,
545.0,2021-2022,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",443.54,286.11,
546.0,2019-2020,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",411.35,238.2,
548.0,2017-2018,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",383.89,211.6,
549.0,2015-2016,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,378.08,226.27,
550.0,2025-2026,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",626.13,381.01,
551.0,2023-2024,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",549.01,353.54,
552.0,2021-2022,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
553.0,2019-2020,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,581.14,,
554.0,2017-2018,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.72,,
555.0,2020-2021,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,492.69,298.06,
556.0,2025-2026,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,751.67,,
557.0,2018-2019,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,444.36,255.83,
558.0,2023-2024,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
559.0,2016-2017,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
562.0,2024-2025,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
563.0,2017-2018,Oct,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
564.0,2015-2016,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),315.22,209.3,
567.0,2020-2021,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),461.78,284.07,
568.0,2018-2019,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),393.75,247.53,
569.0,2015-2016,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",360.78,197.29,
570.0,2016-2017,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),356.67,215.17,
573.0,2024-2025,Oct,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),585.95,397.36,
574.0,2017-2018,Oct,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
575.0,2015-2016,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.45,,
576.0,2016-2017,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",378.06,210.13,
577.0,2020-2021,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",434.65,269.61,
578.0,2025-2026,Oct,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),,393.89,
579.0,2018-2019,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.25,220.0,
581.0,2024-2025,Oct,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",582.8,372.37,
582.0,2020-2021,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,635.87,,
583.0,2018-2019,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,543.1,,
584.0,2015-2016,Oct,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
585.0,2016-2017,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,474.46,,
586.0,2021-2022,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,552.87,320.44,
587.0,2019-2020,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,474.1,281.39,
588.0,2024-2025,Oct,TAMIL NADU,Agriculture,Ploughing/Tilling workers,706.08,,
589.0,2017-2018,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,403.85,225.54,
590.0,2016-2017,Oct,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
592.0,2025-2026,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,649.93,430.56,
594.0,2023-2024,Oct,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,353.33,
595.0,2025-2026,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",626.13,381.01,
596.0,2023-2024,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",549.01,353.54,
597.0,2017-2018,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,482.72,,
598.0,2021-2022,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,665.0,,
599.0,2019-2020,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,596.76,,
600.0,2018-2019,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,444.36,255.83,
601.0,2023-2024,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,697.65,,
602.0,2016-2017,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,394.87,219.24,
603.0,2020-2021,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,518.33,304.54,
604.0,2025-2026,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,753.89,,
606.0,2024-2025,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,396.14,
607.0,2017-2018,Nov,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
609.0,2015-2016,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),315.22,206.35,
612.0,2016-2017,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),349.33,226.37,
613.0,2020-2021,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),468.33,287.04,
614.0,2018-2019,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),393.75,247.53,
615.0,2015-2016,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",360.38,194.43,
616.0,2017-2018,Nov,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),423.9,205.71,
619.0,2024-2025,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),585.95,397.36,
620.0,2015-2016,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,452.45,,
621.0,2018-2019,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",397.25,220.0,
623.0,2016-2017,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",382.63,210.13,
624.0,2020-2021,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",437.82,280.22,
625.0,2025-2026,Nov,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),,393.89,
626.0,2024-2025,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",582.8,372.37,
627.0,2016-2017,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,474.46,,
628.0,2020-2021,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,641.67,,
629.0,2018-2019,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,543.1,,
630.0,2015-2016,Nov,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
631.0,2017-2018,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,403.85,228.92,
632.0,2021-2022,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,547.16,317.82,
633.0,2019-2020,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,466.41,278.61,
634.0,2024-2025,Nov,TAMIL NADU,Agriculture,Ploughing/Tilling workers,706.08,,
636.0,2023-2024,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,585.28,356.47,
637.0,2016-2017,Nov,TAMIL NADU,Agriculture,"Packaging labourers, agriculture",360.0,,
639.0,2025-2026,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,655.73,430.56,
641.0,2015-2016,Nov,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),377.14,190.32,
642.0,2017-2018,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),365.38,235.45,
643.0,2021-2022,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),503.49,301.22,
644.0,2019-2020,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),425.9,265.68,
646.0,2023-2024,Nov,TAMIL,Agriculture,Sowing(including Planting/Transplanting/,557.56,368.05,
647.0,2016-2017,Nov,TAMIL NADU,Agriculture,Horticulture workers (including nursery growers),413.9,201.71,
649.0,2025-2026,Nov,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),715.21,453.89,
650.0,2019-2020,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",411.35,236.69,
652.0,2017-2018,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",383.89,211.6,
653.0,2021-2022,Nov,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",443.54,286.11,
654.0,2015-2016,Nov,TAMIL NADU,Agriculture,Harvesting/Winnowing/Threshing workers,378.82,227.87,
655.0,2020-2021,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),461.56,289.91,
656.0,2018-2019,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),404.67,254.94,
657.0,2015-2016,Dec,TAMIL NADU,Agriculture,"General agricultural labourers (including watering/irrigation workers, etc.)",360.38,194.43,
658.0,2016-2017,Dec,TAMIL NADU,Agriculture,Sowing(including Planting/Transplanting/ Weeding) workers),349.33,226.37,
